city,source_file,source_row,date,station_id,tmax,tmin,tmean,rain_mm,snowfall_cm,precip_mm,tmean_analysis,tmean_derived,quality_notes,winter_year,year,month,is_winter,in_study_period,snow_day,very_cold_day,mean_temp,temp_anomaly,snowfall_total_cm,snow_days,days_below_m20,baseline_mean_temp,baseline_n_winters,baseline_status,winter_label,temperature_pass,snowfall_pass,cold_days_pass,enso_index,enso_value,enso_class,strong_el_nino,oni_djf,roni_djf,enso_class_oni,enso_class_roni,strong_el_nino_oni,strong_el_nino_roni,city_name,region,latitude_approx,included_in_proposal,included_in_repo_study
windsor,windsor_daily.csv,39,1981-02-07,4716,1.8,-7.7,-3,0,0,0,-3,False,,1981,1981,2,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,40,1981-02-08,4716,-2.5,-9.3,-5.9,0,0,0,-5.9,False,,1981,1981,2,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,41,1981-02-09,4716,-3.7,-10,-6.9,0,0.6,0.4,-6.9,False,,1981,1981,2,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,42,1981-02-10,4716,5.6,-8.4,-1.4,14.8,14,32.4,-1.4,False,,1981,1981,2,True,False,1,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,43,1981-02-11,4716,4.9,-17,-6.1,5.6,0.8,6.4,-6.1,False,,1981,1981,2,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,44,1981-02-12,4716,-9.6,-18.6,-14.1,0,0,0,-14.1,False,,1981,1981,2,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,45,1981-02-13,4716,-4.1,-12.8,-8.5,0,0,0,-8.5,False,,1981,1981,2,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,46,1981-02-14,4716,1.6,-7.2,-2.8,0,0,0,-2.8,False,,1981,1981,2,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,47,1981-02-15,4716,4.8,-2.6,1.1,0,0,0,1.1,False,,1981,1981,2,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,48,1981-02-16,4716,6.1,2.8,4.5,2.4,0,2.4,4.5,False,,1981,1981,2,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,49,1981-02-17,4716,7.4,3,5.2,0,0,0,5.2,False,,1981,1981,2,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,50,1981-02-18,4716,10.7,3.6,7.2,0,0,0,7.2,False,,1981,1981,2,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,51,1981-02-19,4716,7.7,4.5,6.1,5.3,0,5.3,6.1,False,,1981,1981,2,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,52,1981-02-20,4716,8,2.1,5.1,1.4,0,1.4,5.1,False,,1981,1981,2,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,53,1981-02-21,4716,5.6,0.2,2.9,0.2,0,0.2,2.9,False,,1981,1981,2,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,54,1981-02-22,4716,8.8,0.3,4.6,9.2,0,9.2,4.6,False,,1981,1981,2,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,55,1981-02-23,4716,8.2,1,4.6,4.9,0,4.9,4.6,False,,1981,1981,2,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,56,1981-02-24,4716,5.4,-0.1,2.7,0.2,1.2,1.4,2.7,False,,1981,1981,2,True,False,1,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,57,1981-02-25,4716,6.3,-1.2,2.6,0,0,0,2.6,False,,1981,1981,2,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,58,1981-02-26,4716,2.1,-3.8,-0.9,0,0,0,-0.9,False,,1981,1981,2,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,59,1981-02-27,4716,4.3,-4.7,-0.2,1.5,0,1.5,-0.2,False,,1981,1981,2,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
windsor,windsor_daily.csv,60,1981-02-28,4716,8.2,2.1,5.2,1.4,0,1.4,5.2,False,,1981,1981,2,True,False,0,0,,,,,,,,,,,,,,,,,,,,,,,Windsor,Southwest,42.28,True,True
