city,enso_index,enso_group,metric,unit,n_group_winters,n_eligible,mean,median,std,min,max,eligible_years,city_name,region,latitude_approx,included_in_proposal,included_in_repo_study
sudbury,ONI,Neutral,snow_days,days,13,10,35.6,35.5,4.812021982,29,45,"1982,1986,1990,1991,1997,2002,2004,2013,2014,2017",Sudbury,Northeast,46.63,False,True
sudbury,ONI,Neutral,days_below_m20,days,13,10,28.3,31.5,11.7383512,5,40,"1982,1986,1990,1991,1997,2002,2004,2013,2014,2017",Sudbury,Northeast,46.63,False,True
sudbury,ONI,El Nino,mean_temp,degrees C,15,14,-10.06878475,-9.333333333,1.831791822,-13.79111111,-7.720879121,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2015,2016,2019,2020",Sudbury,Northeast,46.63,False,True
sudbury,ONI,El Nino,temp_anomaly,degrees C,15,14,0.4690154892,1.204466904,1.831791822,-3.253310874,2.816921116,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2015,2016,2019,2020",Sudbury,Northeast,46.63,False,True
sudbury,ONI,El Nino,snowfall_total_cm,cm,15,13,161.4846154,159.7,58.37369336,95,267.7,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2015,2016,2019",Sudbury,Northeast,46.63,False,True
sudbury,ONI,El Nino,snow_days,days,15,13,33.61538462,34,6.436076206,23,47,"1983,1987,1988,1992,1995,1998,2003,2005,2007,2010,2015,2016,2019",Sudbury,Northeast,46.63,False,True
sudbury,ONI,El Nino,days_below_m20,days,15,11,27.27272727,25,9.209678703,15,46,"1983,1987,1988,1992,1995,2003,2005,2007,2010,2015,2016",Sudbury,Northeast,46.63,False,True
sudbury,ONI,Strong El Nino,mean_temp,degrees C,6,5,-8.959353199,-8.703333333,1.449793234,-11.27692308,-7.720879121,"1983,1992,1998,2010,2016",Sudbury,Northeast,46.63,False,True
sudbury,ONI,Strong El Nino,temp_anomaly,degrees C,6,5,1.578447039,1.834466904,1.449793234,-0.7391228396,2.816921116,"1983,1992,1998,2010,2016",Sudbury,Northeast,46.63,False,True
sudbury,ONI,Strong El Nino,snowfall_total_cm,cm,6,5,158.52,125.7,62.68897032,116.5,263.4,"1983,1992,1998,2010,2016",Sudbury,Northeast,46.63,False,True
sudbury,ONI,Strong El Nino,snow_days,days,6,5,33,33,4.301162634,28,39,"1983,1992,1998,2010,2016",Sudbury,Northeast,46.63,False,True
sudbury,ONI,Strong El Nino,days_below_m20,days,6,4,22,21,7.071067812,15,31,"1983,1992,2010,2016",Sudbury,Northeast,46.63,False,True
thunderbay,ONI,La Nina,mean_temp,degrees C,17,17,-12.18233906,-12.86666667,2.109882704,-15.23186813,-7.771428571,"1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2018,2021,2022,2023,2025",Thunder Bay,Northwest,48.37,True,True
thunderbay,ONI,La Nina,temp_anomaly,degrees C,17,17,-0.6489687135,-1.333296322,2.109882704,-3.698497787,3.761941774,"1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2018,2021,2022,2023,2025",Thunder Bay,Northwest,48.37,True,True
thunderbay,ONI,La Nina,snowfall_total_cm,cm,17,3,110.9333333,101.2,30.20022075,86.8,144.8,"1984,1985,1989",Thunder Bay,Northwest,48.37,True,True
thunderbay,ONI,La Nina,snow_days,days,17,3,21.33333333,20,5.131601439,17,27,"1984,1985,1989",Thunder Bay,Northwest,48.37,True,True
thunderbay,ONI,La Nina,days_below_m20,days,17,16,39.5,42,12.65438001,20,57,"1984,1985,1989,1996,1999,2001,2006,2008,2009,2011,2012,2018,2021,2022,2023,2025",Thunder Bay,Northwest,48.37,True,True
